trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
outbound_0,0:00:00,0:00:00,1378,0,,0,0,0.0000,1
outbound_0,0:01:00,0:01:00,1386,1,,0,0,0.2011,1
outbound_0,0:02:00,0:02:00,494,2,,0,0,0.7250,1
outbound_0,0:03:00,0:03:00,499,3,,0,0,0.9860,1
outbound_0,0:04:00,0:04:00,495,4,,0,0,1.2100,1
outbound_0,0:05:00,0:05:00,2499,5,,0,0,1.4000,1
outbound_0,0:06:00,0:06:00,2464,6,,0,0,1.4900,1
outbound_0,0:07:00,0:07:00,2433,7,,0,0,1.7400,1
outbound_0,0:08:00,0:08:00,2504,8,,0,0,1.9200,1
outbound_1,1:00:00,1:00:00,1378,0,,0,0,0.0000,1
outbound_1,1:01:00,1:01:00,1386,1,,0,0,0.2011,1
outbound_1,1:02:00,1:02:00,494,2,,0,0,0.7250,1
outbound_1,1:03:00,1:03:00,499,3,,0,0,0.9860,1
outbound_1,1:04:00,1:04:00,495,4,,0,0,1.2100,1
outbound_1,1:05:00,1:05:00,2499,5,,0,0,1.4000,1
outbound_1,1:06:00,1:06:00,2464,6,,0,0,1.4900,1
outbound_1,1:07:00,1:07:00,2433,7,,0,0,1.7400,1
outbound_1,1:08:00,1:08:00,2504,8,,0,0,1.9200,1
outbound_2,2:00:00,2:00:00,1378,0,,0,0,0.0000,1
outbound_2,2:01:00,2:01:00,1386,1,,0,0,0.2011,1
outbound_2,2:02:00,2:02:00,494,2,,0,0,0.7250,1
outbound_2,2:03:00,2:03:00,499,3,,0,0,0.9860,1
outbound_2,2:04:00,2:04:00,495,4,,0,0,1.2100,1
outbound_2,2:05:00,2:05:00,2499,5,,0,0,1.4000,1
outbound_2,2:06:00,2:06:00,2464,6,,0,0,1.4900,1
outbound_2,2:07:00,2:07:00,2433,7,,0,0,1.7400,1
outbound_2,2:08:00,2:08:00,2504,8,,0,0,1.9200,1
outbound_3,3:00:00,3:00:00,1378,0,,0,0,0.0000,1
outbound_3,3:01:00,3:01:00,1386,1,,0,0,0.2011,1
outbound_3,3:02:00,3:02:00,494,2,,0,0,0.7250,1
outbound_3,3:03:00,3:03:00,499,3,,0,0,0.9860,1
outbound_3,3:04:00,3:04:00,495,4,,0,0,1.2100,1
outbound_3,3:05:00,3:05:00,2499,5,,0,0,1.4000,1
outbound_3,3:06:00,3:06:00,2464,6,,0,0,1.4900,1
outbound_3,3:07:00,3:07:00,2433,7,,0,0,1.7400,1
outbound_3,3:08:00,3:08:00,2504,8,,0,0,1.9200,1
outbound_4,4:00:00,4:00:00,1378,0,,0,0,0.0000,1
outbound_4,4:01:00,4:01:00,1386,1,,0,0,0.2011,1
outbound_4,4:02:00,4:02:00,494,2,,0,0,0.7250,1
outbound_4,4:03:00,4:03:00,499,3,,0,0,0.9860,1
outbound_4,4:04:00,4:04:00,495,4,,0,0,1.2100,1
outbound_4,4:05:00,4:05:00,2499,5,,0,0,1.4000,1
outbound_4,4:06:00,4:06:00,2464,6,,0,0,1.4900,1
outbound_4,4:07:00,4:07:00,2433,7,,0,0,1.7400,1
outbound_4,4:08:00,4:08:00,2504,8,,0,0,1.9200,1
outbound_5,5:00:00,5:00:00,1378,0,,0,0,0.0000,1
outbound_5,5:01:00,5:01:00,1386,1,,0,0,0.2011,1
outbound_5,5:02:00,5:02:00,494,2,,0,0,0.7250,1
outbound_5,5:03:00,5:03:00,499,3,,0,0,0.9860,1
outbound_5,5:04:00,5:04:00,495,4,,0,0,1.2100,1
outbound_5,5:05:00,5:05:00,2499,5,,0,0,1.4000,1
outbound_5,5:06:00,5:06:00,2464,6,,0,0,1.4900,1
outbound_5,5:07:00,5:07:00,2433,7,,0,0,1.7400,1
outbound_5,5:08:00,5:08:00,2504,8,,0,0,1.9200,1
outbound_6,6:00:00,6:00:00,1378,0,,0,0,0.0000,1
outbound_6,6:01:00,6:01:00,1386,1,,0,0,0.2011,1
