stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1,1,Airport & Brooks,AIRPORT RD,43.130508,-77.665723,,,,,,0,
3,3,Airport & Terminal Lower Level,AIRPORT RD & EASTSIDE WAY,43.127913,-77.663865,,,,,,0,
9,9,Alexander & Gardiner,ALEXANDER ST & GARDINER PARK,43.153279,-77.595235,,,,,,0,
10,10,Alexander & Gardiner,273 ALEXANDER ST & CHAPMAN AL,43.15311,-77.595546,,,,,,0,
13,13,Alexander & Park,ALEXANDER ST & PARK AVE,43.152146,-77.595779,,,,,,0,
17,17,Arnett & Genesee,ARNETT BLVD & GENESEE ST,43.142169,-77.636896,,,,,,0,
18,18,Arnett & Kenwood,ARNETT BLVD & KENWOOD AVE,43.142301,-77.639453,,,,,,0,
19,19,Arnett & Post,ARNETT BLVD & POST AVE,43.142173,-77.648192,,,,,,0,
20,20,Arnett & Post,,43.142342,-77.647859,,,,,,0,
21,21,Arnett & Rugby,ARNETT BLVD & RUGBY AVE,43.142155,-77.643471,,,,,,0,
22,22,Arnett & Rugby,ARNETT BLVD & RUGBY AVE,43.14229,-77.643586,,,,,,0,
23,23,Arnett & Wellington,ARNETT BLVD & WELLINGTON AVE,43.142325,-77.64104,,,,,,0,
24,24,Arnett & Wellington,ARNETT BLVD & WELLINGTON AVE,43.142174,-77.640887,,,,,,0,
25,25,Arnett & Woodbine,ARNETT BLVD & WOODBINE AVE,43.142192,-77.646017,,,,,,0,
26,26,Arnett & Woodbine,ARNETT BLVD & WOODBINE AVE,43.142281,-77.645704,,,,,,0,
33,33,Backus & 40 Backus,BACKUS ST & PHELPS AVE,43.172906,-77.632285,,,,,,0,
37,37,Backus & Bloss,BACKUS ST & BLOSS ST,43.170418,-77.632314,,,,,,0,
39,39,Backus & Phelps,BACKUS ST & PHELPS AVE,43.171668,-77.632328,,,,,,0,
48,48,Bay & Ackerman,BAY ST & ACKERMAN ST,43.171085,-77.576427,,,,,,0,
49,49,Bay & Baycliff,BAY ST & BAYCLIFF DR,43.171161,-77.576179,,,,,,0,
52,52,Bay & Coverly,BAY ST & COVERLY ST,43.171407,-77.562083,,,,,,0,
53,53,Bay & Culver,,43.171592,-77.560761,,,,,,0,
54,54,Bay & Dorset,BAY ST & DORSET ST,43.171311,-77.570594,,,,,,0,
55,55,Bay & Edgeland,BAY ST & EDGELAND ST,43.171436,-77.565274,,,,,,0,
56,56,Bay & Ellison,BAY ST & ELLISON ST,43.17122,-77.573899,,,,,,0,
57,57,Bay & Ellison,BAY ST & ELLISON ST,43.171107,-77.57428,,,,,,0,
60,60,Bay & 5th,BAY ST & 5TH ST,43.170866,-77.583805,,,,,,0,
61,61,Bay & 1st,BAY ST & 1ST ST,43.170726,-77.588345,,,,,,0,
62,62,Bay & 1st,BAY ST & 1ST ST,43.170846,-77.588056,,,,,,0,
63,63,Bay & Goodman,BAY ST & GOODMAN ST N,43.170979,-77.579115,,,,,,0,
64,64,Bay & Goodman,BAY ST & GOODMAN ST N,43.171067,-77.57975,,,,,,0,
65,65,Bay & Harvest,BAY ST & HARVEST ST,43.170974,-77.583961,,,,,,0,
71,71,Bay & McKinster,BAY ST & MCKINSTER ST,43.171337,-77.565281,,,,,,0,
72,72,Bay & Morton,BAY ST & MORTON ST,43.171265,-77.57275,,,,,,0,
76,76,Bay & Salisbury,BAY ST & SALISBURY ST,43.171278,-77.567488,,,,,,0,
77,77,Bay & Salisbury,BAY ST & SALISBURY ST,43.1714,-77.567348,,,,,,0,
78,78,Bay & 7th,BAY ST & 7TH ST,43.170908,-77.581561,,,,,,0,
79,79,Bay & 6th,BAY ST & 6TH ST,43.171004,-77.581857,,,,,,0,
85,85,Bay & Webster,,43.171159,-77.569808,,,,,,0,
88,88,Bay & Wendell,BAY ST & WENDELL ST,43.171169,-77.572662,,,,,,0,
103,103,Beach & Estes,BEACH AVE & ESTES ST,43.25907,-77.609385,,,,,,0,
135,135,Blossom & Beresford,BLOSSOM RD & BERESFORD RD,43.149338,-77.548569,,,,,,0,
136,136,Blossom & Beresford,BLOSSOM RD & BERESFORD RD,43.149425,-77.548267,,,,,,0,
137,137,Blossom & Blossom Circle,STATE RTE 941V & BLOSSOM CIR W,43.149419,-77.530828,,,,,,0,
138,138,Blossom & Bobrich,BLOSSOM RD & BOBRICH DR,43.149296,-77.546461,,,,,,0,
139,139,Blossom & Clover,STATE RTE 941V & CLOVER ST,43.149271,-77.534964,,,,,,0,
140,140,Blossom & Clover,STATE RTE 941V & CLOVER ST,43.149169,-77.535367,,,,,,0,
141,141,Blossom & Croydon,BLOSSOM RD & CROYDON RD,43.149387,-77.545876,,,,,,0,
144,144,Blossom & Gas Light,STATE RTE 941V & GAS LIGHT LN,43.149254,-77.542876,,,,,,0,
145,145,Blossom & Landing,STATE RTE 941V & LANDING RD N,43.149433,-77.528782,,,,,,0,
146,146,Blossom & Mercy High,STATE RTE 941V & CLOVER ST,43.149287,-77.537639,,,,,,0,
147,147,Blossom & Mercy High,STATE RTE 941V & CLOVER ST,43.149201,-77.537581,,,,,,0,
152,152,Blossom & Winton,,43.149394,-77.551991,,,,,,0,
153,153,Blossom & Winton,BLOSSOM RD & WINTON RD N,43.149482,-77.552163,,,,,,0,
154,154,Blossom & Wyatt,STATE RTE 941V & WYATT DR,43.149474,-77.52998,,,,,,0,
174,174,Broad & Allen,STATE HWY 31 & ALLEN ST,43.156698,-77.624318,,,,,,0,
175,175,Broad & Allen,STATE HWY 31 & ALLEN ST,43.156275,-77.623893,,,,,,0,
181,181,Broad & Jay,STATE HWY 31 & JAY ST,43.15952,-77.627259,,,,,,0,
182,182,Broad & Lyell,STATE HWY 31 & JAY ST,43.16405,-77.633654,,,,,,0,
183,183,Broad & Lyell,STATE HWY 31 & RAMP,43.163792,-77.633645,,,,,,0,
184,184,Broad & Main,,43.154645,-77.621047,,,,,,0,
185,185,Broad & Main,STATE HWY 31 & STATE HWY 33,43.154748,-77.620807,,,,,,0,
187,187,Broad & Orange,STATE HWY 31 & ORANGE ST,43.158929,-77.626291,,,,,,0,
190,190,Broad & Romeyn,STATE HWY 31 & ROMEYN ST,43.158731,-77.626186,,,,,,0,
229,229,Brooks & 1214 Brooks,STATE HWY 204 & AIRPORT RD,43.130879,-77.669042,,,,,,0,
232,232,Brooks & Barge Canal,STATE HWY 204 & RAMP,43.130831,-77.65847,,,,,,0,
236,236,Brooks & Burlington,BROOKS AVE & BURLINGTON AVE,43.131041,-77.64655,,,,,,0,
237,237,Brooks & Chandler,BROOKS AVE & CHANDLER ST,43.130969,-77.643444,,,,,,0,
240,240,Brooks & Fairview,BROOKS AVE & FAIRVIEW AVE,43.130906,-77.650271,,,,,,0,
241,241,Brooks & Genesee,BROOKS AVE & GENESEE ST,43.130996,-77.63654,,,,,,0,
242,242,Brooks & Genesee Park,BROOKS AVE & GENESEE PARK BLVD,43.13088,-77.655007,,,,,,0,
245,245,Brooks Landing,BROOKS AVE & GENESEE ST,43.131133,-77.636881,,,,,,0,
246,246,Brooks & Maxwell,BROOKS AVE & MAXWELL AVE,43.131042,-77.64468,,,,,,0,
247,247,Brooks & Millbank,BROOKS AVE & MILLBANK ST,43.131058,-77.639541,,,,,,0,
248,248,Brooks & Paige,BROOKS AVE & PAIGE ST,43.131044,-77.638902,,,,,,0,
249,249,Brooks & Post,BROOKS AVE & POST AVE,43.130939,-77.647753,,,,,,0,
251,251,Brooks & Route 390,STATE HWY 204 & RAMP,43.130961,-77.659159,,,,,,0,
253,253,Brooks & Thurston,BROOKS AVE & THURSTON RD,43.130985,-77.6504,,,,,,0,
254,254,Brooks & Wegmans Dist Ctr,,43.130656,-77.676825,,,,,,0,
255,255,Brooks & Westfield,,43.130994,-77.655037,,,,,,0,
256,256,Brooks & Woodbine,BROOKS AVE & WOODBINE AVE,43.130934,-77.645343,,,,,,0,
