service_id,date,exception_type
210.621.1,20230403,1
210.621.1,20230405,1
210.228.1,20230407,1
210.621.1,20230407,1
210.509.2,20230408,1
210.1.1,20230410,1
210.301.1,20230410,1
210.621.1,20230410,1
210.789.1,20230410,1
210.1.1,20230411,1
210.301.1,20230411,1
210.789.1,20230411,1
210.1.1,20230412,1
210.301.1,20230412,1
210.621.1,20230412,1
210.789.1,20230412,1
210.1.1,20230413,1
210.301.1,20230413,1
210.789.1,20230413,1
210.1.1,20230414,1
210.228.1,20230414,1
210.301.1,20230414,1
210.621.1,20230414,1
210.789.1,20230414,1
210.509.2,20230415,1
210.1.1,20230417,1
210.301.1,20230417,1
210.621.1,20230417,1
210.789.1,20230417,1
210.1.1,20230418,1
210.301.1,20230418,1
210.789.1,20230418,1
210.1.1,20230419,1
210.301.1,20230419,1
210.621.1,20230419,1
210.789.1,20230419,1
210.1.1,20230420,1
210.301.1,20230420,1
210.789.1,20230420,1
210.1.1,20230421,1
210.228.1,20230421,1
210.301.1,20230421,1
210.621.1,20230421,1
210.789.1,20230421,1
210.509.2,20230422,1
210.1.1,20230424,1
210.301.1,20230424,1
210.621.1,20230424,1
210.789.1,20230424,1
210.1.1,20230425,1
210.301.1,20230425,1
210.789.1,20230425,1
210.1.1,20230426,1
210.301.1,20230426,1
210.621.1,20230426,1
210.789.1,20230426,1
210.1.1,20230427,1
210.301.1,20230427,1
210.789.1,20230427,1
210.1.1,20230428,1
210.228.1,20230428,1
210.621.1,20230428,1
210.789.1,20230428,1
210.509.2,20230429,1
210.301.1,20230501,1
210.621.1,20230501,1
210.932.1,20230501,1
210.1.1,20230502,1
210.301.1,20230502,1
210.789.1,20230502,1
210.932.1,20230502,1
210.1.1,20230503,1
210.301.1,20230503,1
210.621.1,20230503,1
210.789.1,20230503,1
210.932.1,20230503,1
210.1.1,20230504,1
210.301.1,20230504,1
210.789.1,20230504,1
210.932.1,20230504,1
210.1.1,20230505,1
210.228.1,20230505,1
210.301.1,20230505,1
210.621.1,20230505,1
210.789.1,20230505,1
210.932.1,20230505,1
210.932.2,20230506,1
210.932.3,20230507,1
210.1.1,20230508,1
210.301.1,20230508,1
210.621.1,20230508,1
210.789.1,20230508,1
210.932.1,20230508,1
210.1.1,20230509,1
210.301.1,20230509,1
210.789.1,20230509,1
210.932.1,20230509,1
210.1.1,20230510,1
210.301.1,20230510,1
210.621.1,20230510,1
210.789.1,20230510,1
210.932.1,20230510,1
210.1.1,20230511,1
210.301.1,20230511,1
210.789.1,20230511,1
210.932.1,20230511,1
210.1.1,20230512,1
210.228.1,20230512,1
210.301.1,20230512,1
210.621.1,20230512,1
210.789.1,20230512,1
210.932.1,20230512,1
210.932.2,20230513,1
210.932.3,20230514,1
210.1.1,20230515,1
210.2.1,20230515,1
210.301.1,20230515,1
210.621.1,20230515,1
210.932.1,20230515,1
210.301.1,20230516,1
210.932.1,20230516,1
210.1.1,20230517,1
210.301.1,20230517,1
210.621.1,20230517,1
210.789.1,20230517,1
210.932.1,20230517,1
210.1.1,20230518,1
210.301.1,20230518,1
210.789.1,20230518,1
210.932.1,20230518,1
210.1.1,20230519,1
210.228.1,20230519,1
210.301.1,20230519,1
210.621.1,20230519,1
210.789.1,20230519,1
210.932.1,20230519,1
210.932.2,20230520,1
210.932.3,20230521,1
210.1.1,20230522,1
210.301.1,20230522,1
210.621.1,20230522,1
210.789.1,20230522,1
210.932.1,20230522,1
210.1.1,20230523,1
210.301.1,20230523,1
210.789.1,20230523,1
210.932.1,20230523,1
210.1.1,20230524,1
210.301.1,20230524,1
210.621.1,20230524,1
210.789.1,20230524,1
210.932.1,20230524,1
210.1.1,20230525,1
210.301.1,20230525,1
210.789.1,20230525,1
210.932.1,20230525,1
210.1.1,20230526,1
210.228.1,20230526,1
210.301.1,20230526,1
210.621.1,20230526,1
210.789.1,20230526,1
210.932.1,20230526,1
210.932.2,20230527,1
210.932.3,20230528,1
210.932.3,20230529,1
210.0.3,20230529,1
210.0.1,20230529,2
210.1.1,20230530,1
210.301.1,20230530,1
210.789.1,20230530,1
210.932.1,20230530,1
210.1.1,20230531,1
210.301.1,20230531,1
210.621.1,20230531,1
210.789.1,20230531,1
210.932.1,20230531,1
210.1.1,20230601,1
210.301.1,20230601,1
210.789.1,20230601,1
210.932.1,20230601,1
210.1.1,20230602,1
210.228.1,20230602,1
210.301.1,20230602,1
210.621.1,20230602,1
210.789.1,20230602,1
210.932.1,20230602,1
210.932.2,20230603,1
210.932.3,20230604,1
210.1.1,20230605,1
210.301.1,20230605,1
210.621.1,20230605,1
210.789.1,20230605,1
210.932.1,20230605,1
210.1.1,20230606,1
210.301.1,20230606,1
210.789.1,20230606,1
210.932.1,20230606,1
210.1.1,20230607,1
210.301.1,20230607,1
210.621.1,20230607,1
210.789.1,20230607,1
210.932.1,20230607,1
210.1.1,20230608,1
210.301.1,20230608,1
210.789.1,20230608,1
210.932.1,20230608,1
210.1.1,20230609,1
210.228.1,20230609,1
210.301.1,20230609,1
210.621.1,20230609,1
210.789.1,20230609,1
210.932.1,20230609,1
210.932.2,20230610,1
210.932.3,20230611,1
210.1.1,20230612,1
210.301.1,20230612,1
210.621.1,20230612,1
210.789.1,20230612,1
210.932.1,20230612,1
210.1.1,20230613,1
210.301.1,20230613,1
210.789.1,20230613,1
210.932.1,20230613,1
210.1.1,20230614,1
210.301.1,20230614,1
210.621.1,20230614,1
210.789.1,20230614,1
210.932.1,20230614,1
210.1.1,20230615,1
210.301.1,20230615,1
210.789.1,20230615,1
210.932.1,20230615,1
210.1.1,20230616,1
210.228.1,20230616,1
210.301.1,20230616,1
210.621.1,20230616,1
210.789.1,20230616,1
210.932.1,20230616,1
210.932.2,20230617,1
210.932.3,20230618,1
