route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
37657,RGRTA,1,St Paul,,3,,006AA6,FFFFFF
37658,RGRTA,2,North Clinton,,3,,006AA6,FFFFFF
37659,RGRTA,3,Joseph,,3,,FC6719,FFFFFF
37660,RGRTA,4,Hudson,,3,,FC6719,FFFFFF
37661,RGRTA,5,Portland,,3,,FC6719,FFFFFF
37662,RGRTA,6,North Goodman,,3,,006AA6,FFFFFF
37663,RGRTA,7,Clifford/Empire,,3,,006AA6,FFFFFF
37664,RGRTA,8,East Main,,3,,FC6719,FFFFFF
37665,RGRTA,9,University,,3,,006AA6,FFFFFF
37666,RGRTA,10,Park,,3,,006AA6,FFFFFF
37667,RGRTA,11,Monroe,,3,,FC6719,FFFFFF
37668,RGRTA,12,South Clinton,,3,,006AA6,FFFFFF
37669,RGRTA,13,South Ave,,3,,006AA6,FFFFFF
37670,RGRTA,14,Marketplace,,3,,006AA6,FFFFFF
37671,RGRTA,15,Plymouth,,3,,006AA6,FFFFFF
37672,RGRTA,16,Genesee,,3,,FC6719,FFFFFF
37673,RGRTA,17,Jefferson/19th Ward,,3,,006AA6,FFFFFF
37674,RGRTA,18,Chili,,3,,006AA6,FFFFFF
37675,RGRTA,19,Buffalo Rd,,3,,006AA6,FFFFFF
37676,RGRTA,20,Lyell,,3,,006AA6,FFFFFF
37677,RGRTA,21,Dewey,,3,,FC6719,FFFFFF
37678,RGRTA,22,Lake,,3,,FC6719,FFFFFF
37679,RGRTA,23,West Ave/Airport,,3,,006AA6,FFFFFF
37680,RGRTA,24,Bay St,,3,,006AA6,FFFFFF
37681,RGRTA,40,Ridge Crosstown,,3,,60D0E4,FFFFFF
37682,RGRTA,41,Culver/Goodman Crosstown,,3,,60D0E4,FFFFFF
37683,RGRTA,50,Fairport/Penfield,,3,,60D0E4,FFFFFF
37949,RGRTA,70,Seabreeze Seasonal,,3,,60D0E4,FFFFFF
37684,RGRTA,TE3,Tiger East End Express,,3,,FC6719,FFFFFF
37685,RGRTA,91,Newark/Lyons Commuter,,3,,77BC1F,FFFFFF
37686,RGRTA,92,Hilton/Hamlin Commuter,,3,,77BC1F,FFFFFF
37687,RGRTA,97,Elmwood Commuter,,3,,77BC1F,FFFFFF
37688,RGRTA,Liv 231,Mt. Morris/Caledonia/Avon,,3,,,
37689,RGRTA,Liv 232,Mt M/Dansv/Nunda/Perry,,3,,,
37690,RGRTA,Liv 242,Mt M/Dansville/Springwate,,3,,,
37691,RGRTA,Liv 243,Dans/Mt M/Geneseo/Avon,,3,,,
37692,RGRTA,270,Maplewood-Charlotte/Prince,,3,,748693,FFFFFF
37693,RGRTA,271,Maplewood-Dewey/Prince,,3,,748693,FFFFFF
37694,RGRTA,272,Edgerton/Prince,,3,,748693,FFFFFF
37695,RGRTA,273,Lyell-Otis/Prince,,3,,748693,FFFFFF
37696,RGRTA,274,Dutchtown/Prince,,3,,748693,FFFFFF
37697,RGRTA,275,19th Ward NW/Prince,,3,,748693,FFFFFF
37698,RGRTA,276,19th Ward SE/Prince,,3,,748693,FFFFFF
37699,RGRTA,277,Genesee/Prince,,3,,748693,FFFFFF
37700,RGRTA,278,Mayors Heights-Plymouth/Princ,,3,,748693,FFFFFF
37701,RGRTA,280,Highland-Strong/Prince,,3,,748693,FFFFFF
37702,RGRTA,281,N Winton Village/Prince,,3,,748693,FFFFFF
37703,RGRTA,283,N Marketview-Northland/Prince,,3,,748693,FFFFFF
37704,RGRTA,284,N Goodman-Portland/Prince,,3,,748693,FFFFFF
37705,RGRTA,285,Joseph-Hudson/Prince,,3,,748693,FFFFFF
37706,RGRTA,287,St Paul-N Clinton/Prince,,3,,748693,FFFFFF
37707,RGRTA,289,Park Ave/Prince,,3,,748693,FFFFFF
37708,RGRTA,350,Maplewood-Charlotte/Colfax,,3,,748693,FFFFFF
37709,RGRTA,351,19th Ward SE/Colfax,,3,,748693,FFFFFF
37710,RGRTA,352,Maplewood-Dewey/Colfax,,3,,748693,FFFFFF
37711,RGRTA,353,Edgerton/Colfax,,3,,748693,FFFFFF
37712,RGRTA,354,Dutchtown/Colfax,,3,,748693,FFFFFF
37713,RGRTA,355,19th Ward NW/Colfax,,3,,748693,FFFFFF
37714,RGRTA,356,Beechwood/Colfax,,3,,748693,FFFFFF
37715,RGRTA,357,Mayors Hgts-Plymth/Colfax,,3,,748693,FFFFFF
37716,RGRTA,358,NMarketview-Homestead/Colfax,,3,,748693,FFFFFF
37717,RGRTA,359,St Paul-N Clinton/Colfax,,3,,748693,FFFFFF
37718,RGRTA,360,Genesee/Colfax,,3,,748693,FFFFFF
37719,RGRTA,361,Joseph-Hudson/Colfax,,3,,748693,FFFFFF
37720,RGRTA,362,NWintonVillage/Colfax,,3,,748693,FFFFFF
37721,RGRTA,363,Northland-Lyceum/Colfax,,3,,748693,FFFFFF
37722,RGRTA,364,Portland/Colfax,,3,,748693,FFFFFF
37723,RGRTA,367,NGoodman/Colfax,,3,,748693,FFFFFF
37724,RGRTA,368,City SE/Colfax,,3,,748693,FFFFFF
37725,RGRTA,420,Genesee/Norton,,3,,748693,FFFFFF
37726,RGRTA,422,Dutchtown/Norton,,3,,748693,FFFFFF
37727,RGRTA,423,Lyell-Otis/Norton,,3,,748693,FFFFFF
37728,RGRTA,425,19th Ward SE/Norton,,3,,748693,FFFFFF
37729,RGRTA,426,Edgerton/Norton,,3,,748693,FFFFFF
37730,RGRTA,427,Mayors Heights-Plymouth/Norto,,3,,748693,FFFFFF
37731,RGRTA,428, Northland-Lyceum/Norton,,3,,748693,FFFFFF
37732,RGRTA,429,N Marketview-Beechwood/Norton,,3,,748693,FFFFFF
37733,RGRTA,430,N Goodman/Norton,,3,,748693,FFFFFF
37734,RGRTA,433,19th Ward NW/Norton,,3,,748693,FFFFFF
37735,RGRTA,434,N Winton Village/Norton,,3,,748693,FFFFFF
37736,RGRTA,436,City SE/Norton,,3,,748693,FFFFFF
37737,RGRTA,437,Paul-Clinton/Norton,,3,,748693,FFFFFF
37738,RGRTA,438,Maplewood-Charlotte/Norton,,3,,748693,FFFFFF
37739,RGRTA,439,Maplewood-Dewey/Norton,,3,,748693,FFFFFF
37740,RGRTA,440,Maplewood/Genesee,,3,,748693,FFFFFF
37741,RGRTA,441,Dutchtown-19th Ward NW/Genese,,3,,748693,FFFFFF
37742,RGRTA,442,St Paul-N Clinton/Genesee,,3,,748693,FFFFFF
