from_stop_id,to_stop_id,transfer_type,min_transfer_time
5239,5291,0,
5239,5293,0,
5239,5294,0,
5239,5295,0,
5239,5296,0,
5239,5297,0,
5239,5298,0,
5239,5299,0,
5239,5300,0,
5239,5301,0,
5239,5303,0,
5239,5304,0,
5239,5305,0,
5239,5306,0,
5239,5307,0,
5239,5308,0,
5239,5309,0,
5239,5310,0,
5239,5311,0,
5239,5312,0,
5239,5313,0,
5239,5314,0,
5239,5315,0,
5239,5317,0,
5239,5338,0,
5239,5341,0,
5239,5700,2,90
5700,5700,2,90
5717,5717,0,
5772,5772,0,
5866,5866,0,
5479,5479,0,
5083,5083,0,
4312,4312,0,
1801,1801,0,
1393,1393,0,
2741,2741,0,
4917,4917,0,
1785,1785,0,
1784,1784,0,
1785,1784,0,
1784,1785,0,
1803,1803,0,
