route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
37657,210.0.1,1132527,1 St Paul to Transit Center,,0,137862,190932,1,1
37657,210.0.1,1132528,1 St Paul to Transit Center,,0,137863,190932,1,1
37657,210.0.1,1132529,1 St Paul to Transit Center,,0,137862,190932,1,1
37657,210.0.1,1132530,1 St Paul to Transit Center,,0,137870,190932,1,1
37657,210.0.1,1132531,1 St Paul to Transit Center,,0,137889,190932,1,1
37657,210.0.1,1132532,1 St Paul to Transit Center,,0,137858,190932,1,1
37657,210.0.1,1132533,1 St Paul to Transit Center,,0,137894,190932,1,1
37657,210.0.1,1132534,1 St Paul to Transit Center,,0,137880,190932,1,1
37657,210.0.1,1132535,1 St Paul to Transit Center,,0,137924,190932,1,1
37657,210.0.1,1132536,1 St Paul to Transit Center,,0,137866,190932,1,1
37657,210.0.1,1132537,1 St Paul to Transit Center,,0,137848,190932,1,1
37657,210.0.1,1132538,1 St Paul to Transit Center,,0,137852,190932,1,1
37657,210.0.1,1132539,1 St Paul to Transit Center,,0,137843,190932,1,1
37657,210.0.1,1132540,1 St Paul to Transit Center,,0,137888,190932,1,1
37657,210.0.1,1132541,1 St Paul to Transit Center,,0,137842,190932,1,1
37657,210.0.1,1132542,1 St Paul to Transit Center,,0,137897,190932,1,1
37657,210.0.1,1132543,1 St Paul to Transit Center,,0,137852,190932,1,1
37657,210.0.1,1132544,1 St Paul to Transit Center,,0,137875,190932,1,1
37657,210.0.1,1132545,1 St Paul to Transit Center,,0,137871,190932,1,1
37657,210.0.1,1132546,1 St Paul to Transit Center,,0,137896,190932,1,1
37657,210.0.1,1132547,1 St Paul to Transit Center,,0,137860,190932,1,1
37657,210.0.1,1132548,1 St Paul to Transit Center,,0,137863,190932,1,1
37657,210.0.1,1132549,1 St Paul to Transit Center,,0,137890,190932,1,1
37657,210.0.1,1132550,1 St Paul to Transit Center,,0,137870,190932,1,1
37657,210.0.1,1132551,1 St Paul to Transit Center,,0,137869,190932,1,1
37657,210.0.1,1132552,1 St Paul to Transit Center,,0,137849,190932,1,1
37657,210.0.1,1132553,1 St Paul to Transit Center,,0,137882,190932,1,1
37657,210.0.1,1132554,1 St Paul to Transit Center,,0,137888,190932,1,1
37657,210.0.1,1132555,1 St Paul to Transit Center,,0,137880,190932,1,1
37657,210.0.1,1132556,1 St Paul to Transit Center,,0,137892,190932,1,1
37657,210.0.1,1132557,1 St Paul to Transit Center,,0,137888,190932,1,1
